Unnamed: 0,ranking,cheese_id,brand,name,country,matching,texture,types,category,price,content,img,brand_code
39,33,p33,샴피뇽,캄보졸라 치즈,독일,"피자, 파스타, 와인, 카나페",4,1,2,"6,400원",까망베르와 고르곤졸라 치즈의 만남!,https://img-cf.kurly.com/shop/data/goods/1595490964205l0.jpg,18
56,48,p48,푸글리제,유기농 리코타,이탈리안,"샐러드, 카나페, 라자냐, 파스타",1,1,3,"14,000원",유기농 유청으로 만든 이탈리안 치즈,https://img-cf.kurly.com/shop/data/goods/1531990784418l0.jpg,30
17,16,p16,zott,모짜렐라 치즈,독일,"카프레제,파스타,피자",1,1,1,"4,600원",매일 먹기 좋은 신선하고 고소한 맛,https://img-cf.kurly.com/shop/data/goods/1526632903783l0.jpg,19
70,57,p57,라 콘타디나,버팔로 리코타,이탈리아,"샐러드, 과일",1,1,3,"9,600원",디저트 대신 떠먹고 싶은 구름을 닮은 치즈,https://img-cf.kurly.com/shop/data/goods/1523513645206l0.jpg,9
55,47,p47,란다나,1000일 숙성 고다 치즈,네덜란드,"와인, 맥주, 스프, 파스타",2,1,6,"9,900원",치즈 마니아를 위한 고다 치즈,https://img-cf.kurly.com/shop/data/goods/1577777055511l0.jpg,20
38,32,p32,안젤로,고르곤졸라 피칸테,이탈리아,"피자, 파스타, 스테이크, 배, 무화과, 샐러리",2,1,2,"7,600원",섹시한 이탈리아 대표 블루치즈,https://img-cf.kurly.com/shop/data/goods/151073128727l0.jpg,7
77,61,p61,사토리,몬아모레 체다,미국,"과일, 맥주, 와인, 위스키",2,1,4,"13,900원",본고장을 넘어선 미국 전통 치즈,https://img-cf.kurly.com/shop/data/goods/1531114195123l0.jpg,39
66,54,p54,퀘소로시난테,만체고 치즈 12개월,스페인,"타파스, 핑거푸드, 샐러드, 샤퀴테리, 멤브리요, 와인, 맥주",3,1,9,"9,700원",12개월 숙성 스페인 정통 치즈,https://img-cf.kurly.com/shop/data/goods/1597801807938l0.jpg,4
58,49,p49,베르기어,포션 믹스,네덜란드,"크래커, 핑거 푸드",2,1,6,"7,200원",하나씩 쏙 꺼내 먹는 4가지 간편 치즈,https://img-cf.kurly.com/shop/data/goods/1528104005658l0.jpg,2
85,69,p69,그랑도르즈,베이크드 까망베르,프랑스,"빵, 감자, 와인, 막걸리, 김가루",4,1,7,"11,900원",그대로 구워 간편하게 즐기는 퐁듀형 까망베르 치즈,https://img-cf.kurly.com/shop/data/goods/1477568074666l0.jpg,3
83,67,p67,사토리,올드 월드 체다,미국,"빵, 잼, 와인, 맥주",3,1,4,"11,500원",견고한 질감 속 고소한 풍미,https://img-cf.kurly.com/shop/data/goods/1563948515444l0.jpg,39
18,17,p17,프란시아,모짜렐라 부팔라,이탈리아,"토마토,바질",1,1,1,"6,240원",물소 우유로 만든 모짜렐라의 진한 매력,https://img-cf.kurly.com/shop/data/goods/1487655849283l0.jpg,15
59,50,p50,브리미,락토스프리 리코타,이탈리아,"샐러드, 라자냐, 크로스티니, 키쉬, 치즈케이크",1,1,3,"8,900원",풍미와 식감은 물론 영양까지 일반 치즈와 견줘도 손색없는 락토스프리 치즈,https://img-cf.kurly.com/shop/data/goods/1494819678578l0.jpg,34
80,64,p64,사토리,헤리티지 체다,미국,"팬케이크, 잼, 와인, 맥주",3,1,4,"11,500원",미국식 체다 치즈의 매력,https://img-cf.kurly.com/shop/data/goods/1563949642720l0.jpg,39
37,31,p31,델리지오사,부라타 치즈,이탈리아,"샐러드, 파스타, 화이트와인",1,1,11,"7,900원",이탈리아 남부 지방의 전통 프레시 치즈,https://img-cf.kurly.com/shop/data/goods/1600316931451l0.jpg,16
7,7,p7,오로비안코,부라타 치즈,이탈리아,"샐러드, 올리브오일, 발사믹식초,",1,1,11,"7,900원",진하고도 순수한 이탈리아의 풍미,https://img-cf.kurly.com/shop/data/goods/1548133518976l0.jpg,22
